time	V(out)	V(vc)
2.861715743600075e-06	4.699827e+00	-1.693543e+00
2.864855351305184e-06	4.699867e+00	-1.690882e+00
2.868388723898394e-06	4.699913e+00	-1.687889e+00
2.871976316761804e-06	4.699959e+00	-1.684850e+00
2.875389661820662e-06	4.700004e+00	-1.681960e+00
2.879195346812196e-06	4.700052e+00	-1.678738e+00
2.882786177556924e-06	4.700099e+00	-1.675699e+00
2.886681089582857e-06	4.700149e+00	-1.672404e+00
2.890884287749329e-06	4.700202e+00	-1.668850e+00
2.895937543160665e-06	4.700267e+00	-1.664578e+00
2.900879388550168e-06	4.700330e+00	-1.660402e+00
2.909021979846703e-06	4.700433e+00	-1.653525e+00
2.916930818231897e-06	4.700532e+00	-1.646849e+00
2.926930818231838e-06	4.700658e+00	-1.638414e+00
2.936930818231778e-06	4.700783e+00	-1.629985e+00
2.945209719973233e-06	4.700886e+00	-1.623012e+00
2.950239768438872e-06	4.700949e+00	-1.618778e+00
2.956700755755211e-06	4.701028e+00	-1.613341e+00
2.959480150315635e-06	4.701063e+00	-1.611004e+00
2.964340182552965e-06	4.701122e+00	-1.606917e+00
2.968822431246047e-06	4.701177e+00	-1.603150e+00
2.977197905053384e-06	4.701280e+00	-1.596115e+00
2.986474485992341e-06	4.701392e+00	-1.588327e+00
2.996474485992282e-06	4.701513e+00	-1.579939e+00
3.006474485992222e-06	4.701633e+00	-1.571557e+00
3.016474485992163e-06	4.701753e+00	-1.563181e+00
3.026474485992104e-06	4.701872e+00	-1.554813e+00
3.036474485992044e-06	4.701990e+00	-1.546451e+00
3.046474485991985e-06	4.702108e+00	-1.538095e+00
3.056474485991926e-06	4.702225e+00	-1.529747e+00
3.066474485991866e-06	4.702341e+00	-1.521405e+00
3.076474485991807e-06	4.702457e+00	-1.513069e+00
3.086474485991747e-06	4.702572e+00	-1.504740e+00
3.096474485991688e-06	4.702686e+00	-1.496418e+00
3.106474485991629e-06	4.702800e+00	-1.488102e+00
3.116474485991569e-06	4.702912e+00	-1.479793e+00
3.126474485991510e-06	4.703025e+00	-1.471491e+00
3.136474485991450e-06	4.703136e+00	-1.463195e+00
3.146474485991391e-06	4.703248e+00	-1.454906e+00
3.156474485991332e-06	4.703358e+00	-1.446623e+00
3.166474485991272e-06	4.703467e+00	-1.438347e+00
3.176474485991213e-06	4.703576e+00	-1.430077e+00
3.186474485991153e-06	4.703685e+00	-1.421814e+00
3.196474485991094e-06	4.703793e+00	-1.413558e+00
3.206474485991035e-06	4.703899e+00	-1.405308e+00
3.216474485990975e-06	4.704006e+00	-1.397065e+00
3.226474485990916e-06	4.704111e+00	-1.388828e+00
3.236474485990857e-06	4.704216e+00	-1.380598e+00
3.246474485990797e-06	4.704321e+00	-1.372374e+00
3.256474485990738e-06	4.704424e+00	-1.364157e+00
3.266474485990678e-06	4.704527e+00	-1.355947e+00
3.276474485990619e-06	4.704630e+00	-1.347742e+00
3.286474485990560e-06	4.704731e+00	-1.339545e+00
3.296474485990500e-06	4.704832e+00	-1.331354e+00
3.306474485990441e-06	4.704933e+00	-1.323169e+00
3.316474485990381e-06	4.705032e+00	-1.314991e+00
3.326474485990322e-06	4.705132e+00	-1.306820e+00
3.336474485990263e-06	4.705230e+00	-1.298654e+00
3.346474485990203e-06	4.705328e+00	-1.290496e+00
3.356474485990144e-06	4.705424e+00	-1.282344e+00
3.366474485990084e-06	4.705521e+00	-1.274198e+00
3.376474485990025e-06	4.705616e+00	-1.266059e+00
3.386474485989966e-06	4.705711e+00	-1.257926e+00
3.396474485989906e-06	4.705806e+00	-1.249800e+00
3.406474485989847e-06	4.705900e+00	-1.241680e+00
3.416474485989788e-06	4.705993e+00	-1.233567e+00
3.426474485989728e-06	4.706085e+00	-1.225460e+00
3.436474485989669e-06	4.706177e+00	-1.217359e+00
3.446474485989609e-06	4.706268e+00	-1.209265e+00
3.456474485989550e-06	4.706358e+00	-1.201178e+00
3.466474485989491e-06	4.706448e+00	-1.193097e+00
3.476474485989431e-06	4.706537e+00	-1.185022e+00
3.486474485989372e-06	4.706626e+00	-1.176953e+00
3.496474485989312e-06	4.706714e+00	-1.168891e+00
3.506474485989253e-06	4.706800e+00	-1.160836e+00
3.516474485989194e-06	4.706887e+00	-1.152787e+00
3.526474485989134e-06	4.706973e+00	-1.144744e+00
3.536474485989075e-06	4.707058e+00	-1.136708e+00
3.546474485989016e-06	4.707142e+00	-1.128678e+00
3.556474485988956e-06	4.707226e+00	-1.120654e+00
3.566474485988897e-06	4.707310e+00	-1.112637e+00
3.576474485988837e-06	4.707392e+00	-1.104626e+00
3.586474485988778e-06	4.707474e+00	-1.096622e+00
3.596474485988719e-06	4.707555e+00	-1.088623e+00
3.606474485988659e-06	4.707636e+00	-1.080632e+00
3.616474485988600e-06	4.707716e+00	-1.072646e+00
3.626474485988540e-06	4.707795e+00	-1.064667e+00
3.636474485988481e-06	4.707873e+00	-1.056694e+00
3.646474485988422e-06	4.707951e+00	-1.048728e+00
3.656474485988362e-06	4.708028e+00	-1.040768e+00
3.666474485988303e-06	4.708105e+00	-1.032814e+00
3.676474485988243e-06	4.708181e+00	-1.024867e+00
3.686474485988184e-06	4.708256e+00	-1.016925e+00
3.696474485988125e-06	4.708331e+00	-1.008991e+00
3.706474485988065e-06	4.708405e+00	-1.001062e+00
3.716474485988006e-06	4.708478e+00	-9.931399e-01
3.726474485987947e-06	4.708550e+00	-9.852239e-01
3.736474485987887e-06	4.708623e+00	-9.773144e-01
3.746474485987828e-06	4.708694e+00	-9.694110e-01
3.756474485987768e-06	4.708765e+00	-9.615139e-01
3.766474485987709e-06	4.708835e+00	-9.536231e-01
3.776474485987650e-06	4.708904e+00	-9.457386e-01
3.786474485987590e-06	4.708973e+00	-9.378603e-01
3.796474485987531e-06	4.709041e+00	-9.299883e-01
3.806474485987471e-06	4.709108e+00	-9.221225e-01
3.816474485987412e-06	4.709175e+00	-9.142630e-01
3.826474485987353e-06	4.709241e+00	-9.064097e-01
3.836474485987293e-06	4.709306e+00	-8.985627e-01
3.846474485987234e-06	4.709371e+00	-8.907219e-01
3.856474485987174e-06	4.709435e+00	-8.828874e-01
3.866474485987115e-06	4.709499e+00	-8.750591e-01
3.876474485987056e-06	4.709561e+00	-8.672370e-01
3.886474485986996e-06	4.709624e+00	-8.594211e-01
3.896474485986937e-06	4.709685e+00	-8.516114e-01
3.906474485986878e-06	4.709746e+00	-8.438079e-01
3.916474485986818e-06	4.709806e+00	-8.360106e-01
3.926474485986759e-06	4.709866e+00	-8.282195e-01
3.936474485986699e-06	4.709925e+00	-8.204347e-01
3.946474485986640e-06	4.709983e+00	-8.126560e-01
3.956474485986581e-06	4.710041e+00	-8.048835e-01
3.966474485986521e-06	4.710097e+00	-7.971171e-01
3.976474485986462e-06	4.710154e+00	-7.893569e-01
3.986474485986402e-06	4.710209e+00	-7.816029e-01
3.996474485986343e-06	4.710264e+00	-7.738551e-01
4.006474485986284e-06	4.710319e+00	-7.661134e-01
4.016474485986224e-06	4.710372e+00	-7.583779e-01
4.026474485986165e-06	4.710425e+00	-7.506485e-01
4.036474485986105e-06	4.710478e+00	-7.429253e-01
4.046474485986046e-06	4.710529e+00	-7.352082e-01
4.056474485985987e-06	4.710580e+00	-7.274972e-01
4.066474485985927e-06	4.710630e+00	-7.197924e-01
4.076474485985868e-06	4.710680e+00	-7.120937e-01
4.086474485985809e-06	4.710730e+00	-7.044011e-01
4.096474485985749e-06	4.710778e+00	-6.967146e-01
4.106474485985690e-06	4.710826e+00	-6.890342e-01
4.116474485985630e-06	4.710873e+00	-6.813599e-01
4.126474485985571e-06	4.710919e+00	-6.736918e-01
4.136474485985512e-06	4.710965e+00	-6.660297e-01
4.146474485985452e-06	4.711010e+00	-6.583737e-01
4.156474485985393e-06	4.711055e+00	-6.507238e-01
4.166474485985333e-06	4.711099e+00	-6.430801e-01
4.176474485985274e-06	4.711142e+00	-6.354423e-01
4.186474485985215e-06	4.711185e+00	-6.278107e-01
4.196474485985155e-06	4.711226e+00	-6.201851e-01
4.206474485985096e-06	4.711268e+00	-6.125655e-01
4.216474485985037e-06	4.711308e+00	-6.049521e-01
4.226474485984977e-06	4.711349e+00	-5.973446e-01
4.236474485984918e-06	4.711388e+00	-5.897433e-01
4.246474485984858e-06	4.711427e+00	-5.821480e-01
4.256474485984799e-06	4.711465e+00	-5.745586e-01
4.266474485984740e-06	4.711502e+00	-5.669754e-01
4.276474485984680e-06	4.711539e+00	-5.593982e-01
4.286474485984621e-06	4.711575e+00	-5.518270e-01
4.296474485984561e-06	4.711610e+00	-5.442618e-01
4.306474485984502e-06	4.711645e+00	-5.367026e-01
4.316474485984443e-06	4.711679e+00	-5.291494e-01
4.326474485984383e-06	4.711713e+00	-5.216023e-01
4.336474485984324e-06	4.711746e+00	-5.140611e-01
4.346474485984264e-06	4.711778e+00	-5.065260e-01
4.356474485984205e-06	4.711810e+00	-4.989968e-01
4.366474485984146e-06	4.711841e+00	-4.914736e-01
4.376474485984086e-06	4.711871e+00	-4.839564e-01
4.386474485984027e-06	4.711900e+00	-4.764452e-01
4.396474485983968e-06	4.711929e+00	-4.689400e-01
4.406474485983908e-06	4.711957e+00	-4.614407e-01
4.416474485983849e-06	4.711985e+00	-4.539474e-01
4.426474485983789e-06	4.712012e+00	-4.464600e-01
4.436474485983730e-06	4.712039e+00	-4.389786e-01
4.446474485983671e-06	4.712064e+00	-4.315032e-01
4.456474485983611e-06	4.712090e+00	-4.240337e-01
4.466474485983552e-06	4.712114e+00	-4.165701e-01
4.476474485983492e-06	4.712137e+00	-4.091125e-01
4.486474485983433e-06	4.712161e+00	-4.016608e-01
4.496474485983374e-06	4.712183e+00	-3.942150e-01
4.506474485983314e-06	4.712205e+00	-3.867752e-01
4.516474485983255e-06	4.712226e+00	-3.793412e-01
4.526474485983195e-06	4.712247e+00	-3.719133e-01
4.536474485983136e-06	4.712267e+00	-3.644911e-01
4.546474485983077e-06	4.712286e+00	-3.570749e-01
4.556474485983017e-06	4.712305e+00	-3.496646e-01
4.566474485982958e-06	4.712322e+00	-3.422602e-01
4.576474485982899e-06	4.712340e+00	-3.348617e-01
4.586474485982839e-06	4.712357e+00	-3.274691e-01
4.596474485982780e-06	4.712373e+00	-3.200823e-01
4.606474485982720e-06	4.712388e+00	-3.127014e-01
4.616474485982661e-06	4.712403e+00	-3.053264e-01
4.626474485982602e-06	4.712417e+00	-2.979573e-01
4.636474485982542e-06	4.712430e+00	-2.905940e-01
4.646474485982483e-06	4.712443e+00	-2.832366e-01
4.656474485982423e-06	4.712456e+00	-2.758850e-01
4.666474485982364e-06	4.712467e+00	-2.685393e-01
4.676474485982305e-06	4.712478e+00	-2.611994e-01
4.686474485982245e-06	4.712488e+00	-2.538654e-01
4.696474485982186e-06	4.712498e+00	-2.465372e-01
4.706474485982126e-06	4.712507e+00	-2.392148e-01
4.716474485982067e-06	4.712515e+00	-2.318983e-01
4.726474485982008e-06	4.712523e+00	-2.245876e-01
4.736474485981948e-06	4.712530e+00	-2.172827e-01
4.746474485981889e-06	4.712536e+00	-2.099836e-01
4.756474485981830e-06	4.712542e+00	-2.026903e-01
4.766474485981770e-06	4.712547e+00	-1.954028e-01
4.776474485981711e-06	4.712552e+00	-1.881211e-01
4.786474485981651e-06	4.712555e+00	-1.808452e-01
4.796474485981592e-06	4.712559e+00	-1.735751e-01
4.806474485981533e-06	4.712561e+00	-1.663108e-01
4.816474485981473e-06	4.712563e+00	-1.590523e-01
4.826474485981414e-06	4.712564e+00	-1.517995e-01
4.836474485981354e-06	4.712565e+00	-1.445526e-01
4.846474485981295e-06	4.712565e+00	-1.373113e-01
4.856474485981236e-06	4.712564e+00	-1.300759e-01
4.866474485981176e-06	4.712563e+00	-1.228462e-01
4.876474485981117e-06	4.712561e+00	-1.156223e-01
4.886474485981058e-06	4.712559e+00	-1.084041e-01
4.896474485980998e-06	4.712555e+00	-1.011916e-01
4.906474485980939e-06	4.712552e+00	-9.398492e-02
4.916474485980879e-06	4.712547e+00	-8.678395e-02
4.926474485980820e-06	4.712542e+00	-7.958871e-02
4.936474485980761e-06	4.712536e+00	-7.239921e-02
4.946474485980701e-06	4.712530e+00	-6.521542e-02
